,alpha,best,ave
0,0.0,"[0.013258160091936588, 0.5505383014678955, 0.456887423992157]",0.340227961850663
1,0.1,"[0.2542904019355774, 0.5463142991065979, 0.4753831923007965]",0.4253292977809906
2,0.2,"[0.32666125893592834, 0.533572793006897, 0.44686639308929443]",0.4357001483440399
3,0.3,"[0.34116581082344055, 0.526391863822937, 0.4526798725128174]",0.4400791823863983
4,0.4,"[0.3514878451824188, 0.5502632260322571, 0.4606432318687439]",0.45413143436113995
5,0.5,"[0.3601638972759247, 0.5440493226051331, 0.4783772826194763]",0.46086350083351135
6,0.6,"[0.39464497566223145, 0.546805202960968, 0.47701308131217957]",0.47282108664512634
7,0.7,"[0.3739986717700958, 0.5483120679855347, 0.4494134187698364]",0.45724138617515564
8,0.8,"[0.39007511734962463, 0.5299659967422485, 0.45667701959609985]",0.45890604456265766
9,0.9,"[0.4038402736186981, 0.5728662014007568, 0.46618902683258057]",0.48096516728401184
10,1.0,"[0.38883423805236816, 0.56608647108078, 0.45452001690864563]",0.4698135753472646
