,alpha,best,ave
0,0.0,"[0.37771081924438477, 0.0864621251821518, 0.49704697728157043]",0.320406640569369
1,0.1,"[0.3906277120113373, 0.5235267281532288, 0.4723285138607025]",0.46216098467508954
2,0.2,"[0.41233760118484497, 0.5296814441680908, 0.45285308361053467]",0.4649573763211568
3,0.3,"[0.382597416639328, 0.5627648830413818, 0.48836085200309753]",0.4779077172279358
4,0.4,"[0.39965853095054626, 0.5648941993713379, 0.5061065554618835]",0.49021976192792255
5,0.5,"[0.3879854679107666, 0.5385370254516602, 0.45881715416908264]",0.4617798825105031
6,0.6,"[0.4197123646736145, 0.5692548155784607, 0.49185609817504883]",0.493607759475708
7,0.7,"[0.41595348715782166, 0.5584678053855896, 0.46274644136428833]",0.47905591130256653
8,0.8,"[0.4106076657772064, 0.5649946928024292, 0.46796953678131104]",0.48119063178698224
9,0.9,"[0.3983635902404785, 0.580517590045929, 0.5060649514198303]",0.4949820439020793
10,1.0,"[0.38028180599212646, 0.5240357518196106, 0.44830313324928284]",0.45087356368700665
